Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241120,14363376,935498675,66427063,1727774898,2663273573,80790439,2744064012,2.94
20241121,21119088,618896679,58745436,891117370,1510014049,79864524,1589878573,5.02
20241122,25365368,282974011,46439990,501732652,784706663,71805358,856512021,8.38
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,3779031,894623232,49304856,3474127427,73783363,53083887,126867250,41.84
20241118,7567374,1242984963,89250045,666384495,1909369458,96817419,2006186877,4.83
20241119,5868054,1461711890,63941548,958526091,2420237981,69809602,2490047583,2.80
20241120,9870987,1110764674,71366709,3917478920,733276298,81237696,814513994,9.97
20241121,15902053,936875920,118396900,2946701723,3883577643,134298953,4017876596,3.34
20241122,731599,174654483,10035230,700864050,875518533,10766829,886285362,1.21
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,3713911,1019783042,45725971,3839677024,564492770,49439882,613932652,8.05
20241118,3572621,1491743101,42941111,1543684104,3035427205,46513732,3081940937,1.51
20241119,5372350,1979836459,37039746,1176997066,3156833525,42412096,3199245621,1.33
20241120,17173152,1587018724,72782711,3716213684,1008265112,89955863,1098220975,8.19
20241121,14776864,1282340337,62341454,2353632362,3635972699,77118318,3713091017,2.08
20241122,1420145,225520398,8648342,498551516,724071914,10068487,734140401,1.37
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,0,0,0,0,0,0,0,0
20241118,0,0,0,0,0,0,0,0
20241119,374490,255329458,686816,395097615,650427073,1061306,651488379,0.16
20241120,33700107,1724897703,89875349,2811221392,241151799,123575456,364727255,33.88
20241121,35824371,1414782199,73197441,2102806449,3517588648,109021812,3626610460,3.01
20241122,6745497,303186524,26147342,541727843,844914367,32892839,877807206,3.75
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
20241117,0,0,0,0,0,0,0,0
20241118,0,0,0,0,0,0,0,0
20241121,16143009,875049878,44369083,1059313081,1934362959,60512092,1994875051,3.03
20241122,5062290,299654262,9017991,305905235,605559497,14080281,619639778,2.27
Date,S,SR,SP,SPR,WithRadius,NoRadius,Total,Match%
